Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,
CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.581,1.26,1.45,1.94,2.92,3.9,6.83,9.78052788834393,14.6971721171129,23.93,34.3,35.5,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.4300078241036,74.1104,74.2317116367383,75.668838699279,76.4811986951838,78.7191728513432,80.6881675434288,80.8669444139622,81.33889705,82.67062427,84.54009378,85.99404818,87.68776014,,
DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126,0.25,0.435,0.464,0.923,1.84,3.05,6.71,9.88,20.8,30.2163466048889,31.650939416316,48.82,55.9,64.73,68.71,72.16,75.16,78,79,82,81.26999953602,82.3499984738392,84.17,86.1937006578756,87.5897993525767,84.1652066441212,84.3941537010844,87.037112092841,88.1345169091916,89.81294133,91.43060973,91.62984383,92.4763763,93.49999579,,
DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0973,0.194,0.387,0.578,1.34,3.83,5.71,11.4,22.7,30.6,39.1724308555053,42.9575247201878,64.25,76.26,80.93,82.74,86.65,85.03,85.02,86.84,88.72,89.8100133895232,92.2600117153012,94.6297,95.9935053764454,96.3305016195436,96.9677852516645,97.0993621555621,97.3192043651002,98.0464347521549,96.54914573,98.8658506,97.86011812,98.77559197,99.76915157,,
ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0129,0.0257,0.0768,0.128,0.28,0.381,1.33,2.8,4.36,7.09,13.6249608089899,18.1487226902932,20.39,39.93,44.01,47.88,50.37,55.11,59.6,62.4,65.8,67.0899993926581,69.8099999420024,71.635,76.1867089778712,78.6896318703515,80.5613329432179,84.6022457016524,86.107235525659,90.718665325267,93.20564892,93.89752157,94.4855432,95.44564516,95.7574516,,
EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0655,0.301,1.16,2.78,3.53,5.71,10.8,14.5,28.5769538105646,31.5274897673756,41.52,45.32,53.2,61.45,63.51,66.19,70.58,72.5,74.1,76.5,78.3899259259259,80.0043,84.2415280294352,88.4097035040431,87.2402327514547,88.1024568740199,89.3570077747426,90.2289281997919,89.05828666,90.97970174,91.52016546,93.18342241,92.23796204,,
FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.401,1.4,1.89,2.57,4.92,13.9,16.8,19.5,25.5,32.3,37.2484617371121,43.1053633522263,62.43,69.22,72.39,74.48,79.66,80.78,83.67,82.49,86.89,88.70999491353,89.879997974222,91.5144,86.5303927529377,86.4221333325445,87.7036499599455,87.4689290730615,88.8899599985585,89.6073851129779,92.17027106,92.80806082,92.98879471,93.51385075,93.72405196,,
FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0528,0.14,0.279,0.591,0.9,1.64,2.58,4.26,6.32,9.13,14.3079239430677,26.3259035521688,30.18,36.14,39.15,42.87,46.87,66.09,70.68,71.58,77.28,77.8199989926706,81.44,81.9198,83.7510996681821,78.0060377071902,79.2698113207547,80.5024597243607,82.0431867788484,83.3397440866883,84.70639801,86.09548575,85.33331734,86.83635789,88.65381638,,
FO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,2.32,4.6,11.3,22.3,32.916392363397,43.2469835228993,53.2992218313613,58.9126409695337,66.5335994677312,67.9026317413939,69.359445124439,75.98,75.57,75.18,75.2,80.7321728,85.3351892392109,90,93.3,94.2,95.1086816720257,97.5819589384468,,,,,,,,,
GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0874,0.174,0.261,0.52,1.04,1.9,4.12,7.39,13.7,21.3,26.8217543508578,33.4810948744147,56.48,64.82,65.61,70,68.82,75.09,78.39,83.56,85,85.3799985496322,87.4799984242111,89.8441,91.6133009176453,92.0002998740234,94.7758006318882,90.4245504868553,90.692008988783,92.5166285497138,94.81820132,96.19650269,95.46530151,95.44719696,95.4720993,,
GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0118,0.0401,0.0609,0.103,0.416,0.484746298540492,0.992344436138154,1.58787562980332,2.55881648068489,3.88622135350273,6.079500198,7.52687684487832,8.26,10.01000023,20.06999969,26.9,31.52000046,36.93999863,43.3,49.1024547144647,47.5697596438736,58.4592896118725,59.7055045962571,62.7179081974285,68.8467135616978,72.53157487,76.4427093,78.71127536,81.88425624,83.79855689,,
GI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2.66,4.18,5.94,19.1316381248919,21.171109436031,23.670239745714,28.3257797920554,32.8860826098395,39.0701308849385,45.29864751181,51.61,58,65.07,65,65,65.017,,,,94.4444715818151,,,,,,,,,,
