Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
GR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32847,33573,35339,36187,37831,39175,40659,42529,44766,46450,49559,51259,53525,55638,56966,58201,59891,62991,64308,62484,59328,59847,61133,55143,55143,56587,59276,60402,54297,54878,51902,52787,50386,48847,48758,
HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14170,12232,10194,10204,10249,10694,10959,11835,11925,12540,12639,12870,13729,14020,14762,15439,16143,16580,17197,16438,16847,16697,16298,15977,15742,16389,16544,17172,17195,17233,16298,17480,17256,17307,,
HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35547,33443,32310,31030,31296,31673,32608,32809,33013,34002,33791,34910,36014,36844,37195,38041,39101,39986,40040,37817,38765,38877,38917,38507,39161,40351,41047,42337,43057,43583,43468,45822,45172,44167,46016,
IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13239,13775,14607,14967,15622,16330,17416,18285,19313,20406,22059,22803,23737,24355,25116,25983,27169,27894,28509,27028,26772,25697,25831,26219,26291,27088,27767,28142,29014,29491,29996,31205,31834,32638,33984,
IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4115,4107,4202,4413,4540,4653,4668,5139,5842,6802,7367,7679,8021,8009,8240,8305,9516,11479,15891,16325,16359,16707,17063,17742,17625,18223,18061,18647,19275,18957,18586,19049,19581,19650,18938,
IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235096,239790,244826,244583,252345,261364,264894,272577,282014,289105,301785,308029,316090,323963,328113,332228,339179,339193,338721,317246,325653,327464,321379,310756,304092,309653,308041,314922,315619,314175,295366,312827,307797,297721,302821,
LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14878,14899,11718,9185,9138,9213,9851,9751,10029,9523,8808,9357,9809,10544,10796,10588,10965,11517,11941,11456,10750,10689,10779,10835,11204,11348,11634,11950,12208,12429,12474,13196,12505,12068,12671,
LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5219,5451,5070,5021,5505,6096,6059,6347,6565,6453,6833,6896,7132,7344,7467,7272,7776,7846,7785,7180,8520,8033,7773,7680,7705,8207,8339,8257,8206,7631,7552,7778,7625,7628,7895,
LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9045,8707,6898,5250,4974,4962,4897,5003,5133,4955,4930,5173,5329,5705,5900,6217,6581,6972,6996,6482,6775,6723,7298,6989,6991,6904,6981,6993,7185,7128,6973,7233,6981,6813,7031,
MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11957,12736,10989,9563,8199,7697,7259,6807,6792,6355,5962,6553,6783,7594,7066,7361,7766,7140,7241,6206,5491,5827,6027,5376,5465,5516,5277,5526,5756,5772,5793,6232,5703,5927,,
MK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5324,5397,5900,5185,5368,5548,5810,5988,6179,5782,5892,5722,5645,6383,6465,6948,7118,7479,7600,7078,7401,8047,7635,7370,7265,7122,6654,6578,6532,6717,6647,6968,6382,6069,,
MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,1308,1370,1380,1400,1480,1440,1464,1510,1626,1681,1686,1782,1942,1924,1983,1984,1982,1979,1828,1944,1991,2068,2064,2112,2178,2167,2369,2440,2537,2430,2559,2744,2770,,
ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3878,3968,4043,3879,3098,3356,3566,3361,2842,2744,2940,2904,3090,3110,3193,2973,3101,2710,2845,,
NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77503,79737,82048,83525,86394,88401,91723,94698,98293,100396,103629,105893,107257,108640,112066,112809,114845,117250,117965,113337,116412,117854,115152,114734,113151,113697,114638,115258,117015,117205,115873,117626,112440,110952,114913,
NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99054,101466,101961,103346,105150,106924,105146,107159,112666,111803,112246,115509,111730,105911,111188,115966,112321,117045,118567,115212,121625,117165,120690,121005,118780,122431,124936,126686,129383,127954,128371,133315,127551,129822,131912,
PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124709,118113,113610,114526,115364,118135,122016,123919,123977,122620,124576,124689,122658,127010,130435,131187,136735,139583,142047,136995,144451,147668,148414,149811,150974,154076,159139,162756,166839,165660,161313,171268,167643,160758,159748,
PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25210,26680,28035,27944,28692,30856,32177,33896,36024,38795,41046,42691,44503,45764,47528,49186,50796,51559,51215,51190,52433,51185,49802,48993,48495,49792,50343,51646,51918,51606,50032,50789,53060,54438,56616,
RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67856,57986,52872,51721,50795,52826,54971,50768,47433,43495,44608,45742,45198,48281,49244,50430,51846,52831,53517,48689,51646,53169,52236,49851,51453,52407,52960,54408,55276,54638,52525,55470,51765,49277,,
RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989578,972174,908114,850141,769972,756947,743237,730054,715912,735900,762069,769933,770766,792403,811652,828117,872393,897680,913506,870330,915649,927209,947584,938422,949592,949333,969226,978432,999372,1003984,983358,1040247,1036255,1047823,,
SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33923,32345,31179,25124,25432,27367,29299,31032,30791,28211,29895,31445,32283,31677,31780,29181,29946,30700,31546,30925,31781,32477,31579,31839,30459,32211,32612,33063,33010,33343,32967,34404,34079,33709,,
SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29368,27126,24929,24339,24500,26412,27674,27283,25240,27134,26706,27041,27161,26984,27387,26502,27687,28336,28479,26685,28043,28868,27783,28162,27836,27927,28383,29503,29418,28435,27567,29440,26929,25363,25346,
SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10660,10171,9869,9860,10425,10571,10670,10792,11047,11255,11491,11964,12726,13128,13641,13838,14296,14404,13988,12450,13338,13863,13822,13964,13872,14187,14447,14917,14944,14923,14338,14770,14216,13609,13720,
SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135538,137300,134739,135196,134263,136596,136454,136323,137385,137039,139128,142522,140206,137600,138688,139335,138592,139580,137089,131509,140065,132575,136027,133161,130704,132523,135705,135762,135640,131687,130531,135592,130230,128014,129227,
TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50131,52938,58222,63180,65939,71781,78935,86934,93226,96939,104520,103541,108621,117098,126773,136749,149825,163353,170604,165087,180211,197934,206711,209222,219888,229195,243675,262043,272531,272035,276741,301874,302037,305573,319055,
UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248432,241452,224952,206278,180434,172511,156254,149687,142382,138695,136631,135853,137126,143341,149526,152905,159056,164128,163492,148658,163078,167397,165985,163773,154769,144889,144194,134072,136770,133662,130541,140213,99320,94948,,
KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2647,3347,3326,3250,3599,3700,3825,4152,4621,4506,4705,5278,5167,5304,5109,,,,,,,,,,,
